# SHOT START
# legend_version=3
# time_base=ms_since_boot
# units: pressure=bar, flow=ml_s, output=percent, derivative=bar_s
# raw_p = raw pressure sensor reading
# flt_p = filtered pressure used by controller
# sp_raw = raw incoming pressure setpoint currently held by the profile engine
# sp_flt = filtered pressure setpoint actually used internally by the controller
# sp_recipe = visual recipe reference; ideal profile target for display/comparison
# sp_ctrl = control reference after internal conditioning; command seen by control logic
# sp_flt_d = derivative of filtered pressure setpoint
# ctrl_out = final controller output command in percent
# pump_duty = internal normalized pressure-branch duty estimate
# pump_flow = estimated pump flow
# coffee_flow = estimated outflow through puck / coffee flow
# u_raw = pressure branch output after clamp and before final slew limiter
# u_applied = pressure branch output after final slew limiter
# u_delta = u_raw - u_applied; limiter intervention magnitude
# limiter_active_up = 1 when rise slew limiter is active
# limiter_active_down = 1 when drop slew limiter is active
# error_integral = integral state of legacy pressure controller
# u_unclamped_raw = controller output before 0..100 clamp
# u_clamped_raw = controller output after 0..100 clamp and before slew limiter
# u_clamp_delta = u_unclamped_raw - u_clamped_raw
# clamp_active_high = 1 when output was clipped by upper clamp
# clamp_active_low = 1 when output was clipped by lower clamp
# u_fb = legacy pressure feedback contribution
# u_ff_hold = static feedforward contribution
# u_ff_dyn = dynamic feedforward contribution
# u_ff_dyn_raw = raw dynamic feedforward request before FF-path LPF and slew limiting
# ff_pressure_w = pressure-window weight applied to dynamic FF
# ff_above_w = above-target suppression weight applied to dynamic FF
# ff_gamma = ramp-dependent gamma multiplier applied to dynamic FF
# u_ff_total = total feedforward contribution
# ramp_hold_active = 1 when the downstream drop-rate hold is active during ramp-up
# drop_rate_active = active downstream output drop-rate cap in percent per second
# mpc_shadow_enabled = 1 when shadow MPC is being computed in parallel
# mpc_u_shadow = total output suggested by shadow MPC; not applied to actuator in shadow stage
# mpc_u_ss = steady-state component suggested by shadow MPC
# mpc_u_trim = corrective trim component suggested by shadow MPC
# mpc_p1_pred = one-step pressure prediction from shadow MPC model
# mpc_pn_pred = terminal pressure prediction at end of shadow MPC horizon
# mpc_qout_est = estimated outflow / load used by shadow MPC model
# mpc_qout_raw = instantaneous outflow / load estimate before shadow-MPC LPF
# mpc_residual = measured minus predicted pressure residual for shadow MPC
# mpc_residual_bias = low-pass residual bias term added to shadow predictions
# mpc_cost = shadow MPC objective value
# power_cmd = floating-point power command sent to pump stage before integer quantization
# power_psm_quantized = integer power actually sent to PSM
# power_quant_residual = sigma-delta residual kept for next quantization step
# tach_period_us = measured time between valid tach pulses in microseconds
# tach_rpm_inst = instantaneous RPM derived from tach_period_us and pulses-per-revolution
# tach_rpm_ema = exponentially filtered published RPM intended for easier visual analysis
# tach_rpm_count_window = RPM derived from ISR-accepted pulse counts over a fixed time window
# tach_rpm_count_window_pcnt_raw = RPM derived from raw PCNT hardware counts over the same window (diagnostic only)
# tach_pcnt_ratio = raw PCNT pulse count divided by ISR-accepted pulse count in the current window
# tach_rpm_pub = RPM value selected for operational use after comparing period and count-window estimates
# tach_quality_ok = 1 when period and count-window RPM agree within tolerance
# tach_rpm_source = 0=none, 1=period branch, 2=count-window fallback
# tach_pulse_count = total number of valid tach pulses seen since the last reset
# tach_glitch_rejects = number of tach edges rejected as implausibly fast glitches or plausibility failures
# tach_pcnt_healthy = 1 when raw PCNT windows have matched ISR-accepted windows for multiple consecutive updates
# tach_timeout = 1 when no recent tach pulse is available and RPM is forced to zero
ms,raw_p,flt_p,sp_raw,sp_flt,sp_recipe,sp_ctrl,sp_flt_d,ctrl_out,pump_duty,pump_flow,coffee_flow,u_raw,u_applied,u_delta,limiter_active_up,limiter_active_down,error_integral,u_unclamped_raw,u_clamped_raw,u_clamp_delta,clamp_active_high,clamp_active_low,u_fb,u_ff_hold,u_ff_dyn,u_ff_dyn_raw,ff_pressure_w,ff_above_w,ff_gamma,u_ff_total,ramp_hold_active,drop_rate_active,mpc_shadow_enabled,mpc_u_shadow,mpc_u_ss,mpc_u_trim,mpc_p1_pred,mpc_pn_pred,mpc_qout_est,mpc_qout_raw,mpc_residual,mpc_residual_bias,mpc_cost,power_cmd,power_psm_quantized,power_quant_residual,tach_period_us,tach_rpm_inst,tach_rpm_ema,tach_rpm_count_window,tach_rpm_count_window_pcnt_raw,tach_pcnt_ratio,tach_rpm_pub,tach_quality_ok,tach_rpm_source,tach_pulse_count,tach_glitch_rejects,tach_pcnt_healthy,tach_timeout
25865,6.089,6.346,9.000,8.855,9.000,8.855,0.746,68.33,0.6833,6.745,0.000,68.33,68.33,0.00,0,0,-0.90815,68.33,68.33,0.00,0,0,66.75,0.00,1.58,0.10,0.02,1.000,1.003,1.58,0,255.00,1,62.94,57.94,5.00,6.437,6.869,1.902,0.000,-0.382,0.003,40.527,68.33,69,-0.2502,6527,4596.29,3267.77,3206.84,5098.06,1.590,3206.84,0,2,144,3123,0,0
25997,6.073,5.885,9.000,8.905,9.000,8.905,0.486,76.75,0.7675,6.983,0.000,76.75,76.75,0.00,0,0,-1.09518,76.75,76.75,0.00,0,0,75.88,0.00,0.87,0.03,0.01,1.000,1.001,0.87,0,255.00,1,73.99,68.99,5.00,5.951,6.264,3.161,5.844,0.140,-0.026,63.664,76.75,77,0.2174,7760,3865.98,3217.96,3206.84,5098.06,1.590,3206.84,0,2,159,3453,0,0
26097,7.524,6.907,9.000,8.929,9.000,8.929,0.365,66.26,0.6533,6.900,0.000,65.33,66.26,-0.93,0,1,-1.23649,65.33,65.33,0.00,0,0,64.74,0.00,0.59,0.01,0.00,1.000,1.000,0.59,0,255.00,1,64.63,59.63,5.00,6.986,7.359,2.800,0.000,0.609,0.016,24.745,66.26,66,0.3865,6574,4563.43,3213.96,3206.84,5098.06,1.590,3206.84,0,2,170,3820,0,0
26230,8.077,7.982,9.000,8.954,9.000,8.954,0.237,46.54,0.4654,6.218,0.000,46.54,46.54,0.00,0,0,-1.33919,46.54,46.54,0.00,0,0,46.22,0.00,0.32,0.00,0.00,1.000,1.000,0.32,0,255.00,1,46.86,41.86,5.00,8.063,8.456,1.980,0.000,0.019,0.048,3.763,46.54,46,0.4984,7496,4002.13,3260.64,3309.61,5812.00,1.756,3309.61,0,2,183,4630,0,0
26367,6.687,7.093,9.000,8.970,9.000,8.970,0.154,62.14,0.6488,5.850,0.000,64.88,62.14,2.74,1,0,-1.37325,64.88,64.88,0.00,0,0,64.71,0.00,0.17,0.00,0.00,1.000,1.000,0.17,0,255.00,1,54.10,49.10,5.00,7.146,7.399,1.899,4.572,-0.516,-0.007,23.525,62.14,62,-0.1668,7382,4063.94,3282.06,3309.61,5812.00,1.756,3309.61,0,2,197,5072,0,0
26500,7.396,7.184,9.000,8.980,9.000,8.980,0.100,65.28,0.6528,5.852,0.000,65.28,65.28,0.00,0,0,-1.48790,65.28,65.28,0.00,0,0,65.18,0.00,0.09,0.00,0.00,1.000,1.000,0.09,0,255.00,1,63.16,58.16,5.00,7.228,7.438,3.007,4.005,0.190,-0.007,21.421,65.28,65,0.1432,7509,3995.21,3295.51,3309.61,5812.00,1.756,3309.61,0,2,212,5469,0,0
26600,8.526,8.124,9.000,8.985,9.000,8.985,0.075,49.98,0.4758,5.565,0.000,47.58,49.98,-2.40,0,1,-1.55275,47.58,47.58,0.00,0,0,47.51,0.00,0.06,0.00,0.00,1.000,1.000,0.06,0,255.00,1,50.00,45.13,4.87,8.183,8.466,2.387,0.000,0.389,0.031,3.295,49.98,50,-0.2566,9137,3283.35,3266.88,3131.80,4324.86,1.381,3283.35,1,1,221,5921,0,0
26733,7.899,8.072,9.000,8.990,9.000,8.990,0.049,50.07,0.5007,5.040,0.000,50.07,50.07,0.00,0,0,-1.61982,50.07,50.07,0.00,0,0,50.03,0.00,0.03,0.00,0.00,1.000,1.000,0.03,0,255.00,1,45.05,40.05,5.00,8.124,8.375,1.698,0.097,-0.244,0.016,4.457,50.07,50,0.1916,7357,4077.75,3200.96,3131.80,4324.86,1.381,3131.80,0,2,236,6548,0,0
26871,6.791,6.978,9.000,8.994,9.000,8.994,0.032,67.17,0.7084,5.091,0.000,70.84,67.17,3.67,1,0,-1.61982,70.84,70.84,0.00,0,0,70.82,0.00,0.02,0.00,0.00,1.000,1.000,0.02,0,255.00,1,67.95,62.95,5.00,6.991,7.054,3.623,10.262,-0.225,-0.037,30.963,67.17,68,-0.4047,7060,4249.29,3167.21,3131.80,4324.86,1.381,3131.80,0,2,250,6820,0,0
27004,8.298,7.861,9.000,8.996,9.000,8.996,0.021,58.22,0.5721,5.143,0.000,57.21,58.22,-1.01,0,1,-1.76068,57.21,57.21,0.00,0,0,57.20,0.00,0.01,0.00,0.00,1.000,1.000,0.01,0,255.00,1,65.84,60.84,5.00,7.888,8.018,4.035,1.094,0.462,0.005,9.183,58.22,58,0.3275,7877,3808.56,3159.09,3150.58,4039.21,1.282,3150.58,0,2,265,7326,0,0
27140,8.501,8.531,9.000,8.997,9.000,8.997,0.014,43.28,0.4328,4.674,0.000,43.28,43.28,0.00,0,0,-1.80755,43.28,43.28,0.00,0,0,43.28,0.00,0.01,0.00,0.00,1.000,1.000,0.01,0,255.00,1,46.79,44.18,2.61,8.567,8.740,2.853,0.000,-0.068,0.028,1.017,43.28,43,0.0964,6996,4288.16,3154.94,3150.58,4039.21,1.282,3150.58,0,2,281,7639,0,0
27277,6.881,7.306,9.000,8.998,9.000,8.998,0.009,59.51,0.6883,4.575,0.000,68.83,59.51,9.32,1,0,-1.82791,68.83,68.83,0.00,0,0,68.82,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,63.50,58.50,5.00,7.309,7.326,3.620,9.567,-0.486,-0.033,22.756,59.51,60,-0.4689,6994,4289.39,3152.81,3150.58,4039.21,1.282,3150.58,0,2,297,7982,0,0
27380,6.863,6.927,9.000,8.999,9.000,8.999,0.007,70.91,0.7479,4.809,0.000,74.79,70.91,3.88,1,0,-1.82791,74.79,74.79,0.00,0,0,74.79,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,80.54,75.54,5.00,6.923,6.904,5.140,11.037,-0.066,-0.046,36.000,70.91,71,-0.3458,8518,3521.95,3276.81,3466.36,4351.39,1.255,3521.95,1,1,307,8190,0,0
27512,8.756,8.296,9.000,8.999,9.000,8.999,0.004,55.95,0.5070,4.842,0.000,50.70,55.95,-5.25,0,1,-1.93891,50.70,50.70,0.00,0,0,50.70,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,68.11,63.99,4.12,8.319,8.429,4.675,0.000,0.493,0.018,4.776,55.95,55,0.4583,8091,3707.82,3377.02,3466.36,4351.39,1.255,3466.36,0,2,323,8694,0,0
27652,8.668,8.704,9.000,8.999,9.000,8.999,0.003,43.85,0.4385,4.410,0.000,43.85,43.85,0.00,0,0,-1.96663,43.85,43.85,0.00,0,0,43.85,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,49.21,47.60,1.61,8.733,8.874,3.305,0.000,-0.067,0.030,0.620,43.85,44,-0.2872,7257,4133.94,3420.61,3466.36,4351.39,1.255,3466.36,0,2,335,9053,0,0
27784,6.834,7.257,9.000,9.000,9.000,9.000,0.002,60.95,0.7183,4.406,0.000,71.83,60.95,10.88,1,0,-1.96663,71.83,71.83,0.00,0,0,71.83,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,69.48,64.48,5.00,7.250,7.216,4.359,10.543,-0.472,-0.039,25.977,60.95,60,0.4634,6959,4310.96,3277.48,3127.31,4249.94,1.359,3127.31,0,2,351,9369,0,0
27886,6.984,6.994,9.000,9.000,9.000,9.000,0.001,72.35,0.7590,4.683,0.000,75.90,72.35,3.55,1,0,-1.96663,75.90,75.90,0.00,0,0,75.90,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,85.37,80.37,5.00,6.986,6.945,5.715,10.937,0.001,-0.046,35.322,72.35,72,0.4637,9876,3037.67,3205.49,3127.31,4249.94,1.359,3037.67,1,1,361,9569,0,0
28019,8.902,8.479,9.000,9.000,9.000,9.000,0.001,55.51,0.4871,4.705,0.000,48.71,55.51,-6.80,0,1,-2.06091,48.71,48.71,0.00,0,0,48.71,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,68.45,65.42,3.03,8.499,8.596,4.915,0.000,0.453,0.024,3.565,55.51,56,-0.0481,6306,4757.37,3167.34,3127.31,4249.94,1.359,3127.31,0,2,376,9982,0,0
28158,8.646,8.715,9.000,9.000,9.000,9.000,0.001,45.94,0.4594,4.316,0.000,45.94,45.94,0.00,0,0,-2.08382,45.94,45.94,0.00,0,0,45.94,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,51.50,49.93,1.57,8.741,8.868,3.475,0.000,-0.101,0.027,0.645,45.94,46,0.4324,6436,4661.28,3178.94,3191.11,4582.10,1.436,3191.11,0,2,390,10246,0,0
28291,6.976,7.336,9.000,9.000,9.000,9.000,0.000,63.04,0.7235,4.370,0.000,72.35,63.04,9.31,1,0,-2.08382,72.35,72.35,0.00,0,0,72.35,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,72.53,67.53,5.00,7.329,7.294,4.630,10.423,-0.400,-0.038,24.007,63.04,63,0.4404,6227,4817.73,3184.88,3191.11,4582.10,1.436,3191.11,0,2,405,10607,0,0
28430,7.681,7.464,9.000,9.000,9.000,9.000,0.000,70.92,0.7092,4.752,0.000,70.92,70.92,0.00,0,0,-2.12990,70.92,70.92,0.00,0,0,70.92,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,87.34,82.34,5.00,7.461,7.446,6.106,8.031,0.244,-0.026,22.426,70.92,71,0.2509,7129,4208.16,3230.25,3338.43,4622.44,1.385,3338.43,0,2,419,11008,0,0
28561,9.073,8.819,9.000,9.000,9.000,9.000,0.000,47.97,0.4629,4.543,0.000,46.29,47.97,-1.68,0,1,-2.17886,46.29,46.29,0.00,0,0,46.29,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,59.59,58.62,0.97,8.840,8.939,4.541,0.000,0.262,0.035,1.707,47.97,48,0.1059,10253,2925.97,3293.73,3338.43,4622.44,1.385,3338.43,0,2,432,11612,0,0
28661,8.517,8.652,9.000,9.000,9.000,9.000,0.000,48.93,0.4893,4.320,0.000,48.93,48.93,0.00,0,0,-2.19531,48.93,48.93,0.00,0,0,48.93,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,54.46,52.49,1.97,8.675,8.789,3.604,0.000,-0.171,0.022,0.894,48.93,49,-0.2945,6942,4321.52,3309.82,3338.43,4622.44,1.385,3338.43,0,2,440,11827,0,0
28793,7.157,7.465,9.000,9.000,9.000,9.000,0.000,66.03,0.7194,4.419,0.000,71.94,66.03,5.91,1,0,-2.19531,71.94,71.94,0.00,0,0,71.94,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,75.35,70.35,5.00,7.461,7.441,4.794,10.230,-0.343,-0.033,20.296,66.03,66,-0.3032,6794,4415.66,3259.27,3015.88,4727.59,1.568,3015.88,0,2,456,12215,0,0
28931,8.150,7.880,9.000,9.000,9.000,9.000,0.000,65.54,0.6554,4.684,0.000,65.54,65.54,0.00,0,0,-2.27148,65.54,65.54,0.00,0,0,65.54,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,81.16,76.16,5.00,7.882,7.894,5.651,5.040,0.300,-0.010,12.788,65.54,66,-0.4454,7446,4029.01,3159.10,3015.88,4727.59,1.568,3015.88,0,2,471,12479,0,0
29065,8.911,8.810,9.000,9.000,9.000,9.000,0.000,48.84,0.4884,4.410,0.000,48.84,48.84,0.00,0,0,-2.30410,48.84,48.84,0.00,0,0,48.84,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,56.36,55.35,1.01,8.833,8.940,4.013,0.000,0.094,0.029,0.772,48.84,49,-0.4677,8178,3668.38,3089.21,3015.88,4727.59,1.568,3015.88,0,2,484,13019,0,0
29166,8.195,8.479,9.000,9.000,9.000,9.000,0.000,53.58,0.5358,4.260,0.000,53.58,53.58,0.00,0,0,-2.32597,53.58,53.58,0.00,0,0,53.58,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,56.91,53.89,3.03,8.500,8.600,3.440,2.332,-0.337,0.010,1.674,53.58,53,0.3318,9683,3098.21,3079.28,3128.50,4939.74,1.579,3098.21,1,1,494,13358,0,0
29298,7.377,7.524,9.000,9.000,9.000,9.000,0.000,70.68,0.7301,4.472,0.000,73.01,70.68,2.32,1,0,-2.32597,73.01,73.01,0.00,0,0,73.01,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,79.71,74.71,5.00,7.521,7.507,5.049,10.141,-0.162,-0.033,18.680,70.68,70,0.2840,7601,3946.85,3103.30,3128.50,4939.74,1.579,3128.50,0,2,510,13649,0,0
29436,8.766,8.409,9.000,9.000,9.000,9.000,0.000,57.46,0.5667,4.569,0.000,56.67,57.46,-0.80,0,1,-2.41584,56.67,56.67,0.00,0,0,56.67,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,70.37,66.85,3.52,8.419,8.464,4.966,1.012,0.389,0.010,4.443,57.46,58,-0.3711,8474,3540.24,3115.60,3128.50,4939.74,1.579,3128.50,0,2,527,13946,0,0
29570,8.560,8.695,9.000,9.000,9.000,9.000,0.000,52.96,0.5296,4.305,0.000,52.96,52.96,0.00,0,0,-2.43810,52.96,52.96,0.00,0,0,52.96,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,56.09,54.38,1.71,8.718,8.824,3.558,0.438,-0.171,0.018,0.503,52.96,53,-0.2293,6967,4306.01,3213.48,3382.90,4671.62,1.381,3382.90,0,2,541,14331,0,0
29707,7.699,7.913,9.000,9.000,9.000,9.000,0.000,67.25,0.6796,4.365,0.000,67.96,67.25,0.70,1,0,-2.45353,67.96,67.96,0.00,0,0,67.96,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,72.18,67.18,5.00,7.920,7.951,4.254,8.229,-0.248,-0.021,9.293,67.25,67,0.4278,7436,4034.43,3296.15,3382.90,4671.62,1.381,3382.90,0,2,556,14778,0,0
29843,8.724,8.390,9.000,9.000,9.000,9.000,0.000,59.28,0.5928,4.472,0.000,59.28,59.28,0.00,0,0,-2.53497,59.28,59.28,0.00,0,0,59.28,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0,255.00,1,69.05,65.40,3.64,8.398,8.438,4.621,2.592,0.363,0.003,3.806,59.28,59,-0.1262,7642,3925.67,3338.48,3382.90,4671.62,1.381,3382.90,0,2,571,15226,0,0
